Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
149967,00000512,false,Rx,1,4,00,00,00,00,00,00,00,00,
151123,00000525,false,Rx,1,8,00,00,00,00,00,00,00,00,
151125,00000513,false,Rx,1,2,00,00,00,00,00,00,00,00,
151126,00000514,false,Rx,1,2,00,00,00,00,00,00,00,00,
152644,00000526,false,Rx,1,8,00,00,00,00,00,00,00,00,
155758,00000520,false,Rx,1,8,00,06,52,00,00,00,00,00,
156886,00000521,false,Rx,1,6,00,00,00,00,9E,07,00,00,
158423,00000522,false,Rx,1,6,00,00,00,00,9E,07,00,00,
158424,00000523,false,Rx,1,6,00,00,D2,00,00,00,00,00,
160542,00000510,false,Rx,1,8,01,10,00,00,00,00,00,00,
160543,00000511,false,Rx,1,4,00,00,00,00,00,00,00,00,
160544,00000512,false,Rx,1,4,00,00,00,00,00,00,00,00,
160545,00000513,false,Rx,1,2,00,00,00,00,00,00,00,00,
160546,00000514,false,Rx,1,2,00,00,00,00,00,00,00,00,
165403,00000520,false,Rx,1,8,01,06,52,00,00,00,00,00,
166602,00000521,false,Rx,1,6,00,00,00,00,9E,07,00,00,
168848,00000523,false,Rx,1,6,00,00,D2,00,00,00,00,00,
169822,00000524,false,Rx,1,5,C8,C8,C8,C8,00,00,00,00,
169824,00000510,false,Rx,1,8,00,10,00,00,00,00,00,00,
169826,00000511,false,Rx,1,4,00,00,00,00,00,00,00,00,
170919,00000525,false,Rx,1,8,00,00,00,00,00,00,00,00,
170920,00000512,false,Rx,1,4,00,00,00,00,00,00,00,00,
170921,00000513,false,Rx,1,2,00,00,00,00,00,00,00,00,
170922,00000514,false,Rx,1,2,00,00,00,00,00,00,00,00,
170924,00000526,false,Rx,1,8,00,00,00,00,00,00,00,00,
176120,00000520,false,Rx,1,8,00,06,52,00,00,00,00,00,
177088,00000521,false,Rx,1,6,00,00,00,00,9E,07,00,00,
177090,00000522,false,Rx,1,6,00,00,00,00,9E,07,00,00,
178984,00000523,false,Rx,1,6,00,00,D2,00,00,00,00,00,
178985,00000524,false,Rx,1,5,C8,C8,C8,C8,00,00,00,00,
180345,00000510,false,Rx,1,8,01,10,00,00,00,00,00,00,
180347,00000511,false,Rx,1,4,00,00,00,00,00,00,00,00,
180348,00000512,false,Rx,1,4,00,00,00,00,00,00,00,00,
180349,00000525,false,Rx,1,8,00,00,00,00,00,00,00,00,
180360,00000513,false,Rx,1,2,00,00,00,00,00,00,00,00,
181602,00000514,false,Rx,1,2,00,00,00,00,00,00,00,00,
181605,00000526,false,Rx,1,8,00,00,00,00,00,00,00,00,
186106,00000520,false,Rx,1,8,01,06,52,00,00,00,00,00,
186108,00000521,false,Rx,1,6,00,00,00,00,9E,07,00,00,
187916,00000522,false,Rx,1,6,00,00,00,00,9E,07,00,00,
189034,00000523,false,Rx,1,6,00,00,D2,00,00,00,00,00,
189036,00000524,false,Rx,1,5,C8,C8,C8,C8,00,00,00,00,
190350,00000510,false,Rx,1,8,00,10,00,00,00,00,00,00,
190363,00000511,false,Rx,1,4,00,00,00,00,00,00,00,00,
190365,00000512,false,Rx,1,4,00,00,00,00,00,00,00,00,
190366,00000513,false,Rx,1,2,00,00,00,00,00,00,00,00,
190367,00000514,false,Rx,1,2,00,00,00,00,00,00,00,00,
191580,00000525,false,Rx,1,8,00,00,00,00,00,00,00,00,
191582,00000526,false,Rx,1,8,00,00,00,00,00,00,00,00,
195593,00000520,false,Rx,1,8,00,06,52,00,00,00,00,00,
197084,00000521,false,Rx,1,6,00,00,00,00,9E,07,00,00,
198083,00000522,false,Rx,1,6,00,00,00,00,9E,07,00,00,
199234,00000523,false,Rx,1,6,00,00,D2,00,00,00,00,00,
200181,00000524,false,Rx,1,5,C8,C8,C8,C8,00,00,00,00,
200183,00000510,false,Rx,1,8,01,10,00,00,00,00,00,00,
200184,00000511,false,Rx,1,4,00,00,00,00,00,00,00,00,
200184,00000512,false,Rx,1,4,00,00,00,00,00,00,00,00,
201248,00000525,false,Rx,1,8,00,00,00,00,00,00,00,00,
201250,00000513,false,Rx,1,2,00,00,00,00,00,00,00,00,
201252,00000514,false,Rx,1,2,00,00,00,00,00,00,00,00,
202407,00000526,false,Rx,1,8,00,00,00,00,00,00,00,00,
206407,00000520,false,Rx,1,8,01,06,52,00,00,00,00,00,
207560,00000521,false,Rx,1,6,00,00,00,00,9E,07,00,00,
207561,00000522,false,Rx,1,6,00,00,00,00,9E,07,00,00,
209362,00000523,false,Rx,1,6,00,00,D2,00,00,00,00,00,
209364,00000524,false,Rx,1,5,C8,C8,C8,C8,00,00,00,00,
210384,00000510,false,Rx,1,8,00,10,00,00,00,00,00,00,
210386,00000511,false,Rx,1,4,00,00,00,00,00,00,00,00,
210387,00000525,false,Rx,1,8,00,00,00,00,00,00,00,00,
210388,00000512,false,Rx,1,4,00,00,00,00,00,00,00,00,
210389,00000513,false,Rx,1,2,00,00,00,00,00,00,00,00,
211504,00000514,false,Rx,1,2,00,00,00,00,00,00,00,00,
211505,00000526,false,Rx,1,8,00,00,00,00,00,00,00,00,
218414,00000522,false,Rx,1,6,00,00,00,00,9E,07,00,00,
219466,00000523,false,Rx,1,6,00,00,D2,00,00,00,00,00,
219468,00000524,false,Rx,1,5,C8,C8,C8,C8,00,00,00,00,
219469,00000510,false,Rx,1,8,00,10,00,00,00,00,00,00,
220684,00000511,false,Rx,1,4,00,00,00,00,00,00,00,00,
220685,00000512,false,Rx,1,4,00,00,00,00,00,00,00,00,
220686,00000525,false,Rx,1,8,00,00,00,00,00,00,00,00,
220687,00000513,false,Rx,1,2,00,00,00,00,00,00,00,00,
220688,00000514,false,Rx,1,2,00,00,00,00,00,00,00,00,
222440,00000526,false,Rx,1,8,00,00,00,00,00,00,00,00,
225913,00000520,false,Rx,1,8,01,06,52,00,00,00,00,00,
225915,00000521,false,Rx,1,6,00,00,00,00,9E,07,00,00,
229387,00000524,false,Rx,1,5,C8,C8,C8,C8,00,00,00,00,
230457,00000510,false,Rx,1,8,00,10,00,00,00,00,00,00,
230459,00000511,false,Rx,1,4,00,00,00,00,00,00,00,00,
230460,00000525,false,Rx,1,8,00,00,00,00,00,00,00,00,
230461,00000512,false,Rx,1,4,00,00,00,00,00,00,00,00,
230461,00000513,false,Rx,1,2,00,00,00,00,00,00,00,00,
231744,00000514,false,Rx,1,2,00,00,00,00,00,00,00,00,
231746,00000526,false,Rx,1,8,00,00,00,00,00,00,00,00,
232894,00000000,false,Rx,1,2,00,00,00,00,00,00,00,00,
233995,00000500,false,Rx,1,8,00,00,00,00,00,00,00,00,
235043,00000502,false,Rx,1,5,00,00,00,00,00,00,00,00,
235045,00000520,false,Rx,1,8,00,06,52,00,00,00,00,00,
237164,00000521,false,Rx,1,6,00,00,00,00,9E,07,00,00,
237166,00000522,false,Rx,1,6,00,00,00,00,9E,07,00,00,
238982,00000523,false,Rx,1,6,00,00,D2,00,00,00,00,00,
238984,00000524,false,Rx,1,5,C8,C8,C8,C8,00,00,00,00,
240349,00000510,false,Rx,1,8,01,10,00,00,00,00,00,00,
240351,00000511,false,Rx,1,4,00,00,00,00,00,00,00,00,
240352,00000512,false,Rx,1,4,00,00,00,00,00,00,00,00,
240353,00000525,false,Rx,1,8,00,00,00,00,00,00,00,00,
240353,00000513,false,Rx,1,2,00,00,00,00,00,00,00,00,
241484,00000514,false,Rx,1,2,00,00,00,00,00,00,00,00,
241486,00000526,false,Rx,1,8,00,00,00,00,00,00,00,00,
246375,00000520,false,Rx,1,8,01,06,52,00,00,00,00,00,
246377,00000521,false,Rx,1,6,00,00,00,00,9E,07,00,00,
248524,00000522,false,Rx,1,6,00,00,00,00,9E,07,00,00,
248526,00000523,false,Rx,1,6,00,00,D2,00,00,00,00,00,
250178,00000524,false,Rx,1,5,C8,C8,C8,C8,00,00,00,00,
250180,00000510,false,Rx,1,8,00,10,00,00,00,00,00,00,
250181,00000511,false,Rx,1,4,00,00,00,00,00,00,00,00,
250182,00000512,false,Rx,1,4,00,00,00,00,00,00,00,00,
250183,00000513,false,Rx,1,2,00,00,00,00,00,00,00,00,
251413,00000525,false,Rx,1,8,00,00,00,00,00,00,00,00,
251415,00000514,false,Rx,1,2,00,00,00,00,00,00,00,00,
252830,00000526,false,Rx,1,8,00,00,00,00,00,00,00,00,
256349,00000520,false,Rx,1,8,00,06,52,00,00,00,00,00,
256351,00000521,false,Rx,1,6,00,00,00,00,9E,07,00,00,
258103,00000522,false,Rx,1,6,00,00,00,00,9E,07,00,00,
259554,00000523,false,Rx,1,6,00,00,D2,00,00,00,00,00,
259556,00000524,false,Rx,1,5,C8,C8,C8,C8,00,00,00,00,
259560,00000510,false,Rx,1,8,01,10,00,00,00,00,00,00,
260735,00000511,false,Rx,1,4,00,00,00,00,00,00,00,00,
260736,00000512,false,Rx,1,4,00,00,00,00,00,00,00,00,
260737,00000513,false,Rx,1,2,00,00,00,00,00,00,00,00,
260738,00000514,false,Rx,1,2,00,00,00,00,00,00,00,00,
265979,00000520,false,Rx,1,8,01,06,52,00,00,00,00,00,
265981,00000521,false,Rx,1,6,00,00,00,00,9E,07,00,00,
269393,00000524,false,Rx,1,5,C8,C8,C8,C8,00,00,00,00,
270417,00000510,false,Rx,1,8,00,10,00,00,00,00,00,00,
270419,00000525,false,Rx,1,8,00,00,00,00,00,00,00,00,
270420,00000511,false,Rx,1,4,00,00,00,00,00,00,00,00,
270421,00000512,false,Rx,1,4,00,00,00,00,00,00,00,00,
270422,00000513,false,Rx,1,2,00,00,00,00,00,00,00,00,
271563,00000526,false,Rx,1,8,00,00,00,00,00,00,00,00,
271564,00000514,false,Rx,1,2,00,00,00,00,00,00,00,00,
275639,00000520,false,Rx,1,8,00,06,52,00,00,00,00,00,
275641,00000521,false,Rx,1,6,00,00,00,00,9E,07,00,00,
277953,00000522,false,Rx,1,6,00,00,00,00,9E,07,00,00,
279095,00000523,false,Rx,1,6,00,00,D2,00,00,00,00,00,
279097,00000524,false,Rx,1,5,C8,C8,C8,C8,00,00,00,00,
280401,00000510,false,Rx,1,8,01,10,00,00,00,00,00,00,
280403,00000511,false,Rx,1,4,00,00,00,00,00,00,00,00,
280405,00000512,false,Rx,1,4,00,00,00,00,00,00,00,00,
280406,00000525,false,Rx,1,8,00,00,00,00,00,00,00,00,
280407,00000513,false,Rx,1,2,00,00,00,00,00,00,00,00,
281606,00000514,false,Rx,1,2,00,00,00,00,00,00,00,00,
281607,00000526,false,Rx,1,8,00,00,00,00,00,00,00,00,
286138,00000520,false,Rx,1,8,01,06,52,00,00,00,00,00,
286140,00000521,false,Rx,1,6,00,00,00,00,9E,07,00,00,
288159,00000522,false,Rx,1,6,00,00,00,00,9E,07,00,00,
289186,00000523,false,Rx,1,6,00,00,D2,00,00,00,00,00,
290188,00000524,false,Rx,1,5,C8,C8,C8,C8,00,00,00,00,
290190,00000510,false,Rx,1,8,00,10,00,00,00,00,00,00,
290191,00000511,false,Rx,1,4,00,00,00,00,00,00,00,00,
290192,00000512,false,Rx,1,4,00,00,00,00,00,00,00,00,
290193,00000513,false,Rx,1,2,00,00,00,00,00,00,00,00,
291175,00000514,false,Rx,1,2,00,00,00,00,00,00,00,00,
291176,00000525,false,Rx,1,8,00,00,00,00,00,00,00,00,
292473,00000526,false,Rx,1,8,00,00,00,00,00,00,00,00,
296301,00000520,false,Rx,1,8,00,06,52,00,00,00,00,00,
297364,00000521,false,Rx,1,6,00,00,00,00,9E,07,00,00,
297366,00000522,false,Rx,1,6,00,00,00,00,9E,07,00,00,
299193,00000523,false,Rx,1,6,00,00,D2,00,00,00,00,00,
300217,00000524,false,Rx,1,5,C8,C8,C8,C8,00,00,00,00,
300218,00000510,false,Rx,1,8,01,10,00,00,00,00,00,00,
300219,00000511,false,Rx,1,4,00,00,00,00,00,00,00,00,
300220,00000512,false,Rx,1,4,00,00,00,00,00,00,00,00,
300221,00000513,false,Rx,1,2,00,00,00,00,00,00,00,00,
301473,00000525,false,Rx,1,8,00,00,00,00,00,00,00,00,
301474,00000514,false,Rx,1,2,00,00,00,00,00,00,00,00,
301475,00000526,false,Rx,1,8,00,00,00,00,00,00,00,00,
306299,00000520,false,Rx,1,8,01,06,52,00,00,00,00,00,
306300,00000521,false,Rx,1,6,00,00,00,00,9E,07,00,00,
308262,00000522,false,Rx,1,6,00,00,00,00,9E,07,00,00,
309813,00000523,false,Rx,1,6,00,00,D2,00,00,00,00,00,
309816,00000524,false,Rx,1,5,C8,C8,C8,C8,00,00,00,00,
309818,00000510,false,Rx,1,8,00,10,00,00,00,00,00,00,
309819,00000511,false,Rx,1,4,00,00,00,00,00,00,00,00,
310892,00000525,false,Rx,1,8,00,00,00,00,00,00,00,00,
310894,00000512,false,Rx,1,4,00,00,00,00,00,00,00,00,
310895,00000513,false,Rx,1,2,00,00,00,00,00,00,00,00,
310896,00000514,false,Rx,1,2,00,00,00,00,00,00,00,00,
311981,00000526,false,Rx,1,8,00,00,00,00,00,00,00,00,
315889,00000520,false,Rx,1,8,00,06,52,00,00,00,00,00,
315891,00000521,false,Rx,1,6,00,00,00,00,9E,07,00,00,
320626,00000510,false,Rx,1,8,01,10,00,00,00,00,00,00,
320628,00000511,false,Rx,1,4,00,00,00,00,00,00,00,00,
320629,00000525,false,Rx,1,8,00,00,00,00,00,00,00,00,
320630,00000512,false,Rx,1,4,00,00,00,00,00,00,00,00,
320631,00000513,false,Rx,1,2,00,00,00,00,00,00,00,00,
321527,00000514,false,Rx,1,2,00,00,00,00,00,00,00,00,
321529,00000526,false,Rx,1,8,00,00,00,00,00,00,00,00,
325855,00000520,false,Rx,1,8,01,06,52,00,00,00,00,00,
325857,00000521,false,Rx,1,6,00,00,00,00,9E,07,00,00,
327982,00000522,false,Rx,1,6,00,00,00,00,9E,07,00,00,
327984,00000523,false,Rx,1,6,00,00,D2,00,00,00,00,00,
329804,00000524,false,Rx,1,5,C8,C8,C8,C8,00,00,00,00,
329807,00000510,false,Rx,1,8,00,10,00,00,00,00,00,00,
329808,00000511,false,Rx,1,4,00,00,00,00,00,00,00,00,
330882,00000525,false,Rx,1,8,00,00,00,00,00,00,00,00,
330883,00000512,false,Rx,1,4,00,00,00,00,00,00,00,00,
330884,00000513,false,Rx,1,2,00,00,00,00,00,00,00,00,
330885,00000514,false,Rx,1,2,00,00,00,00,00,00,00,00,
330886,00000526,false,Rx,1,8,00,00,00,00,00,00,00,00,
332698,00000000,false,Rx,1,2,00,00,00,00,00,00,00,00,
333881,00000500,false,Rx,1,8,00,00,00,00,00,00,00,00,
333883,00000502,false,Rx,1,5,00,00,00,00,00,00,00,00,
335865,00000520,false,Rx,1,8,00,06,52,00,00,00,00,00,
335867,00000521,false,Rx,1,6,00,00,00,00,9E,07,00,00,
337801,00000522,false,Rx,1,6,00,00,00,00,9E,07,00,00,
339724,00000523,false,Rx,1,6,00,00,D2,00,00,00,00,00,
339725,00000524,false,Rx,1,5,C8,C8,C8,C8,00,00,00,00,
339726,00000510,false,Rx,1,8,01,10,00,00,00,00,00,00,
340693,00000525,false,Rx,1,8,00,00,00,00,00,00,00,00,
340695,00000511,false,Rx,1,4,00,00,00,00,00,00,00,00,
340697,00000512,false,Rx,1,4,00,00,00,00,00,00,00,00,
340697,00000513,false,Rx,1,2,00,00,00,00,00,00,00,00,
340698,00000526,false,Rx,1,8,00,00,00,00,00,00,00,00,
341706,00000514,false,Rx,1,2,00,00,00,00,00,00,00,00,
345730,00000520,false,Rx,1,8,01,06,52,00,00,00,00,00,
347176,00000521,false,Rx,1,6,00,00,00,00,9E,07,00,00,
347177,00000522,false,Rx,1,6,00,00,00,00,9E,07,00,00,
350516,00000510,false,Rx,1,8,00,10,00,00,00,00,00,00,
350517,00000524,false,Rx,1,5,C8,C8,C8,C8,00,00,00,00,
350518,00000511,false,Rx,1,4,00,00,00,00,00,00,00,00,
350520,00000512,false,Rx,1,4,00,00,00,00,00,00,00,00,
350521,00000513,false,Rx,1,2,00,00,00,00,00,00,00,00,
351520,00000525,false,Rx,1,8,00,00,00,00,00,00,00,00,
351522,00000514,false,Rx,1,2,00,00,00,00,00,00,00,00,
351523,00000526,false,Rx,1,8,00,00,00,00,00,00,00,00,
355906,00000520,false,Rx,1,8,00,06,52,00,00,00,00,00,
357205,00000521,false,Rx,1,6,00,00,00,00,9E,07,00,00,
358455,00000522,false,Rx,1,6,00,00,00,00,9E,07,00,00,
358457,00000523,false,Rx,1,6,00,00,D2,00,00,00,00,00,
360629,00000510,false,Rx,1,8,01,10,00,00,00,00,00,00,
360631,00000511,false,Rx,1,4,00,00,00,00,00,00,00,00,
360632,00000512,false,Rx,1,4,00,00,00,00,00,00,00,00,
360633,00000513,false,Rx,1,2,00,00,00,00,00,00,00,00,
360634,00000514,false,Rx,1,2,00,00,00,00,00,00,00,00,
