Index	Close Left (x,y,z)	Close Right (x,y,z)	Far Left (x,y,z)	Far Right (x,y,z)
25	125.00,8.99,0.00	125.00,-3.01,0.00	130.00,8.99,0.00	130.00,-3.01,0.00
26	130.00,8.58,0.00	130.00,-3.42,0.00	135.00,8.58,0.00	135.00,-3.42,0.00
27	135.00,8.14,0.00	135.00,-3.86,0.00	140.00,8.14,0.00	140.00,-3.86,0.00
28	140.00,7.67,0.00	140.00,-4.33,0.00	145.00,7.67,0.00	145.00,-4.33,0.00
29	145.00,7.20,0.00	145.00,-4.80,0.00	150.00,7.20,0.00	150.00,-4.80,0.00
30	150.00,6.71,0.00	150.00,-5.29,0.00	155.00,6.71,0.00	155.00,-5.29,0.00
31	155.00,6.21,0.00	155.00,-5.79,0.00	160.00,6.21,0.00	160.00,-5.79,0.00
32	160.00,5.71,0.00	160.00,-6.29,0.00	165.00,5.71,0.00	165.00,-6.29,0.00
33	165.00,5.21,0.00	165.00,-6.79,0.00	170.00,5.21,0.00	170.00,-6.79,0.00
34	170.00,4.72,0.00	170.00,-7.28,0.00	175.00,4.72,0.00	175.00,-7.28,0.00
35	175.00,4.25,0.00	175.00,-7.75,0.00	180.00,4.25,0.00	180.00,-7.75,0.00
36	180.00,3.79,0.00	180.00,-8.21,0.00	185.00,3.79,0.00	185.00,-8.21,0.00
37	185.00,3.35,0.00	185.00,-8.65,0.00	190.00,3.35,0.00	190.00,-8.65,0.00
38	190.00,2.94,0.00	190.00,-9.06,0.00	195.00,2.94,0.00	195.00,-9.06,0.00
39	195.00,2.56,0.00	195.00,-9.44,0.00	200.00,2.56,0.00	200.00,-9.44,0.00
40	200.00,2.22,0.00	200.00,-9.78,0.00	205.00,2.22,0.00	205.00,-9.78,0.00
41	205.00,1.91,0.00	205.00,-10.09,0.00	210.00,1.91,0.00	210.00,-10.09,0.00
42	210.00,1.64,0.00	210.00,-10.36,0.00	215.00,1.64,0.00	215.00,-10.36,0.00
43	215.00,1.42,0.00	215.00,-10.58,0.00	220.00,1.42,0.00	220.00,-10.58,0.00
44	220.00,1.24,0.00	220.00,-10.76,0.00	225.00,1.24,0.00	225.00,-10.76,0.00
45	225.00,1.11,0.00	225.00,-10.89,0.00	230.00,1.11,0.00	230.00,-10.89,0.00
46	230.00,1.03,0.00	230.00,-10.97,0.00	235.00,1.03,0.00	235.00,-10.97,0.00
47	235.00,1.00,0.00	235.00,-11.00,0.00	240.00,1.00,0.00	240.00,-11.00,0.00
48	240.00,1.02,0.00	240.00,-10.98,0.00	245.00,1.02,0.00	245.00,-10.98,0.00
49	245.00,1.09,0.00	245.00,-10.91,0.00	250.00,1.09,0.00	250.00,-10.91,0.00
50	250.00,1.21,0.00	250.00,-10.79,0.00	255.00,1.21,0.00	255.00,-10.79,0.00
51	255.00,1.37,0.00	255.00,-10.63,0.00	260.00,1.37,0.00	260.00,-10.63,0.00
52	260.00,1.58,0.00	260.00,-10.42,0.00	265.00,1.58,0.00	265.00,-10.42,0.00
53	265.00,1.84,0.00	265.00,-10.16,0.00	270.00,1.84,0.00	270.00,-10.16,0.00
54	270.00,2.14,0.00	270.00,-9.86,0.00	275.00,2.14,0.00	275.00,-9.86,0.00
55	275.00,2.47,0.00	275.00,-9.53,0.00	280.00,2.47,0.00	280.00,-9.53,0.00
56	280.00,2.84,0.00	280.00,-9.16,0.00	285.00,2.84,0.00	285.00,-9.16,0.00
57	285.00,3.25,0.00	285.00,-8.75,0.00	290.00,3.25,0.00	290.00,-8.75,0.00
58	290.00,3.68,0.00	290.00,-8.32,0.00	295.00,3.68,0.00	295.00,-8.32,0.00
59	295.00,4.13,0.00	295.00,-7.87,0.00	300.00,4.13,0.00	300.00,-7.87,0.00
60	300.00,4.60,0.00	300.00,-7.40,0.00	305.00,4.60,0.00	305.00,-7.40,0.00
61	305.00,5.09,0.00	305.00,-6.91,0.00	310.00,5.09,0.00	310.00,-6.91,0.00
62	310.00,5.58,0.00	310.00,-6.42,0.00	315.00,5.58,0.00	315.00,-6.42,0.00
63	315.00,6.08,0.00	315.00,-5.92,0.00	320.00,6.08,0.00	320.00,-5.92,0.00
64	320.00,6.58,0.00	320.00,-5.42,0.00	325.00,6.58,0.00	325.00,-5.42,0.00
65	325.00,7.08,0.00	325.00,-4.92,0.00	330.00,7.08,0.00	330.00,-4.92,0.00
66	330.00,7.56,0.00	330.00,-4.44,0.00	335.00,7.56,0.00	335.00,-4.44,0.00
67	335.00,8.02,0.00	335.00,-3.98,0.00	340.00,8.02,0.00	340.00,-3.98,0.00
68	340.00,8.47,0.00	340.00,-3.53,0.00	345.00,8.47,0.00	345.00,-3.53,0.00
69	345.00,8.89,0.00	345.00,-3.11,0.00	350.00,8.89,0.00	350.00,-3.11,0.00
70	350.00,9.28,0.00	350.00,-2.72,0.00	355.00,9.28,0.00	355.00,-2.72,0.00
71	355.00,9.64,0.00	355.00,-2.36,0.00	360.00,9.64,0.00	360.00,-2.36,0.00
72	360.00,9.97,0.00	360.00,-2.03,0.00	365.00,9.97,0.00	365.00,-2.03,0.00
73	365.00,10.25,0.00	365.00,-1.75,0.00	370.00,10.25,0.00	370.00,-1.75,0.00
74	370.00,10.49,0.00	370.00,-1.51,0.00	375.00,10.49,0.00	375.00,-1.51,0.00
75	375.00,10.69,0.00	375.00,-1.31,0.00	380.00,10.69,0.00	380.00,-1.31,0.00
76	380.00,10.84,0.00	380.00,-1.16,0.00	385.00,10.84,0.00	385.00,-1.16,0.00
77	385.00,10.94,0.00	385.00,-1.06,0.00	390.00,10.94,0.00	390.00,-1.06,0.00
78	390.00,10.99,0.00	390.00,-1.01,0.00	395.00,10.99,0.00	395.00,-1.01,0.00
79	395.00,10.99,0.00	395.00,-1.01,0.00	400.00,10.99,0.00	400.00,-1.01,0.00
80	400.00,10.95,0.00	400.00,-1.05,0.00	405.00,10.95,0.00	405.00,-1.05,0.00
81	405.00,10.85,0.00	405.00,-1.15,0.00	410.00,10.85,0.00	410.00,-1.15,0.00
82	410.00,10.70,0.00	410.00,-1.30,0.00	415.00,10.70,0.00	415.00,-1.30,0.00
83	415.00,10.51,0.00	415.00,-1.49,0.00	420.00,10.51,0.00	420.00,-1.49,0.00
84	420.00,10.27,0.00	420.00,-1.73,0.00	425.00,10.27,0.00	425.00,-1.73,0.00
85	425.00,9.99,0.00	425.00,-2.01,0.00	430.00,9.99,0.00	430.00,-2.01,0.00
86	430.00,9.67,0.00	430.00,-2.33,0.00	435.00,9.67,0.00	435.00,-2.33,0.00
87	435.00,9.31,0.00	435.00,-2.69,0.00	440.00,9.31,0.00	440.00,-2.69,0.00
88	440.00,8.92,0.00	440.00,-3.08,0.00	445.00,8.92,0.00	445.00,-3.08,0.00
89	445.00,8.51,0.00	445.00,-3.49,0.00	450.00,8.51,0.00	450.00,-3.49,0.00
90	450.00,8.06,0.00	450.00,-3.94,0.00	455.00,8.06,0.00	455.00,-3.94,0.00
91	455.00,7.60,0.00	455.00,-4.40,0.00	460.00,7.60,0.00	460.00,-4.40,0.00
92	460.00,7.11,0.00	460.00,-4.89,0.00	465.00,7.11,0.00	465.00,-4.89,0.00
93	465.00,6.62,0.00	465.00,-5.38,0.00	470.00,6.62,0.00	470.00,-5.38,0.00
94	470.00,6.12,0.00	470.00,-5.88,0.00	475.00,6.12,0.00	475.00,-5.88,0.00
95	475.00,5.62,0.00	475.00,-6.38,0.00	480.00,5.62,0.00	480.00,-6.38,0.00
96	480.00,5.13,0.00	480.00,-6.87,0.00	485.00,5.13,0.00	485.00,-6.87,0.00
97	485.00,4.64,0.00	485.00,-7.36,0.00	490.00,4.64,0.00	490.00,-7.36,0.00
98	490.00,4.17,0.00	490.00,-7.83,0.00	495.00,4.17,0.00	495.00,-7.83,0.00
99	495.00,3.71,0.00	495.00,-8.29,0.00	500.00,3.71,0.00	500.00,-8.29,0.00
